job_title,work_year,salary_in_usd
Data Engineer,2023,124935
Data Engineer,2023,76050
Data Scientist,2023,224800
Data Scientist,2023,131100
Data Scientist,2023,258000
Data Scientist,2023,171000
Data Engineer,2023,196000
Data Engineer,2023,121000
Data Engineer,2023,195800
Data Engineer,2023,171500
Data Modeler,2023,166000
Data Modeler,2023,73100
Data Scientist,2023,220000
Data Scientist,2023,160000
Data Scientist,2023,85000
Data Scientist,2023,65000
Machine Learning Engineer,2023,220000
Machine Learning Engineer,2023,100000
Data Scientist,2023,185000
Data Scientist,2023,152000
Machine Learning Engineer,2023,220000
Machine Learning Engineer,2023,100000
Data Scientist,2023,48585
Data Scientist,2023,38868
Machine Learning Engineer,2023,220000
Machine Learning Engineer,2023,100000
Machine Learning Engineer,2023,220000
Machine Learning Engineer,2023,100000
Research Engineer,2023,220000
Research Engineer,2023,100000
Data Analyst,2023,110000
Data Analyst,2023,80000
Data Analyst,2023,36912
Data Scientist,2023,150200
Data Scientist,2023,71000
Data Engineer,2023,167200
Data Engineer,2023,121000
Data Engineer,2023,133000
Data Engineer,2023,58400
Data Scientist,2023,135000
Data Scientist,2023,110000
Data Product Owner,2023,104584
Data Product Owner,2023,73824
Data Scientist,2023,187415
Data Scientist,2023,114080
Data Scientist,2023,187415
Data Scientist,2023,114080
Data Engineer,2023,166000
Data Engineer,2023,73100
Machine Learning Engineer,2023,306400
Machine Learning Engineer,2023,168700
Data Scientist,2023,187415
Data Scientist,2023,114080
Data Analyst,2023,32974
Data Analyst,2023,32974
Data Analyst,2023,165000
Data Analyst,2023,140000
Analytics Engineer,2023,150000
Data Analyst,2023,167000
Data Analyst,2023,121000
Business Intelligence Engineer,2023,185000
Business Intelligence Engineer,2023,79600
Data Scientist,2023,190200
Data Scientist,2023,95100
Data Analyst,2023,133000
Data Analyst,2023,58400
Data Engineer,2023,90000
Data Engineer,2023,70000
Data Scientist,2023,166000
Data Scientist,2023,73100
Data Engineer,2023,135000
Data Engineer,2023,100000
Data Engineer,2023,180514
Data Engineer,2023,108308
Machine Learning Engineer,2023,294000
Machine Learning Engineer,2023,192000
Machine Learning Engineer,2023,266000
Machine Learning Engineer,2023,167000
Machine Learning Engineer,2023,200000
Machine Learning Engineer,2023,150000
Data Analyst,2023,163800
Data Analyst,2023,88200
Data Analyst,2023,180400
Data Analyst,2023,138800
Data Analyst,2023,67672
Data Analyst,2023,55368
Machine Learning Engineer,2023,319000
Machine Learning Engineer,2023,206000
Data Scientist,2023,215000
Data Scientist,2023,142000
Data Scientist,2023,266000
Data Scientist,2023,167000
Data Analyst,2023,140130
Data Analyst,2023,84870
Data Engineer,2023,178300
Data Engineer,2023,105400
Applied Scientist,2023,222200
Applied Scientist,2023,136000
Machine Learning Engineer,2023,215000
Machine Learning Engineer,2023,142000
Research Scientist,2023,240000
Research Scientist,2023,210000
Data Engineer,2023,122000
Data Engineer,2023,94500
Data Engineer,2023,150000
Data Science Consultant,2023,116000
Data Science Consultant,2023,90000
Data Science Consultant,2023,145000
Data Science Consultant,2023,128000
Data Engineer,2023,154000
Data Engineer,2023,126000
Machine Learning Scientist,2023,240000
Machine Learning Scientist,2023,157250
Data Engineer,2023,219650
Data Engineer,2023,136000
Data Scientist,2023,150000
Machine Learning Engineer,2023,180000
Machine Learning Engineer,2023,125000
Data Scientist,2023,247600
Data Scientist,2023,127300
Data Scientist,2023,60000
Data Scientist,2023,55000
Data Engineer,2023,250000
Data Engineer,2023,125000
Machine Learning Engineer,2023,190000
Machine Learning Engineer,2023,170000
Data Scientist,2023,202600
Data Scientist,2023,168800
Data Engineer,2023,132000
Data Engineer,2023,111000
Data Scientist,2023,203000
Data Scientist,2023,127000
Business Intelligence Analyst,2023,125009
Business Intelligence Analyst,2023,83339
Data Analyst,2023,112200
Data Analyst,2023,91800
Machine Learning Engineer,2023,200000
Machine Learning Engineer,2023,160000
AI Developer,2023,161952
Data Architect,2023,185000
Data Architect,2023,150000
Data Engineer,2023,160000
Data Engineer,2023,130000
Data Engineer,2023,145000
Data Engineer,2023,115000
Data Scientist,2023,133000
Data Scientist,2023,58300
Data Engineer,2023,254000
Data Engineer,2023,159000
Data Engineer,2023,170000
Data Engineer,2023,85000
Data Scientist,2023,130500
Data Scientist,2023,116000
Research Analyst,2023,81400
Research Analyst,2023,43500
Data Engineer,2023,169000
Data Engineer,2023,92000
Data Analyst,2023,166000
Data Analyst,2023,73100
Research Scientist,2023,190000
Research Scientist,2023,165000
Machine Learning Engineer,2023,305600
Machine Learning Engineer,2023,146600
Data Analyst,2023,150000
Data Analyst,2023,120000
Data Engineer,2023,275000
Data Engineer,2023,146400
Data Scientist,2023,208500
Data Scientist,2023,165000
Data Scientist,2023,258700
Data Scientist,2023,172500
Data Engineer,2023,150000
Data Engineer,2023,130000
Data Engineer,2023,185000
Data Engineer,2023,150000
Data Analyst,2023,166000
Data Analyst,2023,73100
Business Intelligence Analyst,2023,198200
Business Intelligence Analyst,2023,110200
Machine Learning Researcher,2023,166000
Machine Learning Researcher,2023,73100
Machine Learning Researcher,2023,212000
Machine Learning Researcher,2023,93300
AI Engineer,2023,212000
AI Engineer,2023,93300
Data Engineer,2023,166000
Data Engineer,2023,73100
Data Engineer,2023,167100
Data Engineer,2023,111400
Data Engineer,2023,133000
Data Engineer,2023,58400
Data Scientist,2023,166000
Data Scientist,2023,73100
Data Analyst,2023,170000
Data Analyst,2023,145000
Data Scientist,2023,212000
Data Scientist,2023,93300
Data Architect,2023,170000
Data Architect,2023,135000
Data Engineer,2023,145000
Data Engineer,2023,115000
Data Engineer,2023,139810
Data Engineer,2023,95325
Research Scientist,2023,278700
Research Scientist,2023,159300
Machine Learning Engineer,2023,226700
Machine Learning Engineer,2023,151100
Data Engineer,2023,247300
Data Engineer,2023,139700
Data Scientist,2023,188000
Data Scientist,2023,139000
Data Scientist,2023,150000
Data Engineer,2023,160000
Data Engineer,2023,94000
Data Manager,2023,127000
Data Manager,2023,65000
ML Engineer,2023,276000
ML Engineer,2023,174000
Applied Scientist,2023,260000
Applied Scientist,2023,136000
Analytics Engineer,2023,250000
Analytics Engineer,2023,210000
Data Scientist,2023,188000
Data Scientist,2023,139000
Machine Learning Engineer,2023,238000
Machine Learning Engineer,2023,176000
Machine Learning Engineer,2023,204500
Machine Learning Engineer,2023,142200
Data Science Director,2023,212000
Data Science Director,2023,190000
Research Engineer,2023,261500
Research Engineer,2023,134500
Data Architect,2023,239000
Data Architect,2023,122900
Analytics Engineer,2023,115000
Analytics Engineer,2023,95000
Data Scientist,2023,158500
Data Scientist,2023,115000
ML Engineer,2023,331640
ML Engineer,2023,267720
Data Engineer,2023,180000
Data Engineer,2023,90000
Data Analyst,2023,83000
Data Analyst,2023,66000
Data Scientist,2023,224250
Data Scientist,2023,121550
Data Scientist,2023,166000
Data Scientist,2023,73100
Research Engineer,2023,141298
Research Engineer,2023,115607
Data Engineer,2023,109000
Data Engineer,2023,100000
Data Scientist,2023,205400
Data Scientist,2023,92900
ML Engineer,2023,220000
ML Engineer,2023,130000
Data Scientist,2023,160000
Data Scientist,2023,110000
Data Engineer,2023,230000
Data Engineer,2023,100000
Business Intelligence Engineer,2023,186030
Business Intelligence Engineer,2023,110200
Research Engineer,2023,130000
Research Engineer,2023,100000
Data Scientist,2023,242000
Data Scientist,2023,106200
Data Scientist,2023,220000
Data Scientist,2023,120000
Data Scientist,2023,258000
Data Scientist,2023,171000
Research Analyst,2023,91200
Research Analyst,2023,58200
Data Scientist,2023,192000
Data Scientist,2023,178000
Data Engineer,2023,210000
Data Engineer,2023,130000
Research Engineer,2023,160000
Research Engineer,2023,150000
Applied Scientist,2023,260000
Applied Scientist,2023,136000
Data Architect,2023,206000
Data Architect,2023,134000
Data Scientist,2023,180000
Data Scientist,2023,135000
Data Scientist,2023,200000
Data Scientist,2023,120000
Machine Learning Engineer,2023,212000
Machine Learning Engineer,2023,93300
Data Engineer,2023,106700
Data Engineer,2023,57700
Machine Learning Engineer,2023,266400
Machine Learning Engineer,2023,173300
Data Analyst,2023,125000
Data Analyst,2023,100000
Business Intelligence Engineer,2023,165600
Business Intelligence Engineer,2023,65800
Data Scientist,2023,210400
Data Scientist,2023,170500
Data Scientist,2023,212000
Data Scientist,2023,93300
Data Engineer,2023,170000
Data Engineer,2023,160000
Data Scientist,2023,185400
Data Scientist,2023,81536
Data Analyst,2023,193000
Data Analyst,2023,158000
Data Engineer,2023,170000
Data Engineer,2023,100000
Applied Scientist,2023,222200
Applied Scientist,2023,136000
Data Engineer,2023,148000
Data Engineer,2023,99000
Machine Learning Engineer,2023,204500
Machine Learning Engineer,2023,142200
Data Analyst,2023,95000
Data Analyst,2023,75000
Data Analyst,2023,115000
Data Analyst,2023,105000
Data Engineer,2023,195800
Data Engineer,2023,161900
Data Analyst,2023,90000
Data Analyst,2023,80000
Data Analyst,2023,192500
Data Analyst,2023,140000
Analytics Engineer,2023,100000
Analytics Engineer,2023,75000
Data Engineer,2023,169000
Data Engineer,2023,91000
Machine Learning Engineer,2023,216600
Machine Learning Engineer,2023,144400
Data Analyst,2023,150000
Data Analyst,2023,120000
Data Engineer,2023,133000
Data Engineer,2023,58400
Data Scientist,2023,166000
Data Scientist,2023,73100
Data Scientist,2023,166000
Data Scientist,2023,73100
ML Engineer,2023,336300
ML Engineer,2023,179000
Machine Learning Engineer,2023,296400
Machine Learning Engineer,2023,159600
Data Scientist,2023,212000
Data Scientist,2023,93300
Machine Learning Engineer,2023,204500
Machine Learning Engineer,2023,142200
Head of Data,2023,258500
Head of Data,2023,226500
Research Scientist,2023,247250
Research Scientist,2023,118400
BI Analyst,2023,160000
BI Analyst,2023,140000
Machine Learning Engineer,2023,212000
Machine Learning Engineer,2023,93400
Data Scientist,2023,172256
Data Scientist,2023,123040
Data Scientist,2023,219000
Data Scientist,2023,132000
Data Scientist,2023,130500
Data Scientist,2023,116000
Research Scientist,2023,323300
Research Scientist,2023,184700
Machine Learning Scientist,2023,250000
Machine Learning Scientist,2023,200000
Data Scientist,2023,136000
Data Scientist,2023,91000
Data Scientist,2023,185900
Data Scientist,2023,129300
Data Analyst,2023,143000
Data Analyst,2023,78000
Data Scientist,2023,135000
Data Scientist,2023,110000
Data Engineer,2023,142000
Data Engineer,2023,102200
Data Scientist,2023,137500
Data Scientist,2023,81500
BI Analyst,2023,202000
BI Analyst,2023,147000
Data Scientist,2023,140000
Data Scientist,2023,125000
Data Scientist,2023,170625
Data Scientist,2023,127950
Data Scientist,2023,123040
Data Scientist,2023,86128
Data Analyst,2023,85256
Data Analyst,2023,71615
Data Scientist,2023,100000
Research Analyst,2023,100000
Data Engineer,2023,185000
Data Engineer,2023,125000
Data Management Analyst,2023,60000
Data Management Analyst,2023,52000
Machine Learning Engineer,2023,300000
Machine Learning Engineer,2023,260000
Data Scientist,2023,225000
Data Scientist,2023,170000
Business Intelligence Analyst,2023,100000
Business Intelligence Analyst,2023,80000
Machine Learning Modeler,2023,204500
Machine Learning Modeler,2023,142200
Data Scientist,2023,135000
Data Scientist,2023,100000
Data Scientist,2023,297300
Data Scientist,2023,198200
Machine Learning Engineer,2023,240000
Machine Learning Engineer,2023,190000
Business Intelligence Engineer,2023,185000
Business Intelligence Engineer,2023,79600
Applied Scientist,2023,222200
Applied Scientist,2023,136000
Data Engineer,2023,110000
Data Engineer,2023,95000
Machine Learning Engineer,2023,324000
Machine Learning Engineer,2023,159000
Machine Learning Engineer,2023,207700
Machine Learning Engineer,2023,133700
Research Analyst,2023,71000
Research Analyst,2023,57000
Applied Scientist,2023,222200
Applied Scientist,2023,136000
Machine Learning Engineer,2023,200000
Machine Learning Engineer,2023,150000
Data Analyst,2023,59000
Data Analyst,2023,50000
Machine Learning Engineer,2023,234000
Machine Learning Engineer,2023,208000
Analytics Engineer,2023,187000
Analytics Engineer,2023,128000
BI Analyst,2023,202000
BI Analyst,2023,147000
AI Engineer,2023,50000
Data Scientist,2023,64781
Data Scientist,2023,57223
Data Science Consultant,2023,21000
Data Analyst,2023,135000
Data Analyst,2023,120000
Data Architect,2023,150000
Data Architect,2023,140000
Research Scientist,2023,190000
Research Scientist,2023,165000
Data Scientist,2023,280000
Data Scientist,2023,190000
Data Science Director,2023,212000
Data Science Director,2023,190000
Business Intelligence Engineer,2023,43064
Business Intelligence Engineer,2023,43064
Machine Learning Engineer,2023,245700
Machine Learning Engineer,2023,132300
Data Specialist,2023,90000
Data Specialist,2023,80000
Machine Learning Engineer,2023,212000
Machine Learning Engineer,2023,93300
Data Scientist,2023,212000
Data Scientist,2023,93300
ML Engineer,2023,276000
ML Engineer,2023,174000
Data Engineer,2023,133000
Data Engineer,2023,58300
Data Analyst,2023,145640
Data Analyst,2023,84400
Data Engineer,2023,300000
Data Engineer,2023,195000
Data Architect,2023,190000
Data Architect,2023,107500
Data Analyst,2023,105000
Data Analyst,2023,75000
Data Analyst,2023,140000
Data Analyst,2023,98000
Machine Learning Engineer,2023,204500
Machine Learning Engineer,2023,142200
Data Scientist,2023,236160
Data Scientist,2023,159408
Data Analyst,2023,115000
Data Analyst,2023,85000
Data Product Manager,2023,145000
Data Product Manager,2023,120000
Data Analyst,2023,120350
Data Analyst,2023,74400
Data Analyst,2023,158494
Data Analyst,2023,88052
Analytics Engineer,2023,181500
Analytics Engineer,2023,127000
Machine Learning Engineer,2023,300000
Machine Learning Engineer,2023,260000
Data Scientist,2023,258000
Data Scientist,2023,171000
BI Data Analyst,2023,25000
Data Scientist,2023,200000
Data Scientist,2023,150000
Machine Learning Engineer,2023,225300
Machine Learning Engineer,2023,197400
Data Engineer,2023,205500
Data Engineer,2023,128500
Data Architect,2023,191600
Data Architect,2023,125600
Machine Learning Engineer,2023,245700
Machine Learning Engineer,2023,132300
Data Scientist,2023,130410
Data Scientist,2023,92000
Data Scientist,2023,183900
Data Scientist,2023,108800
Machine Learning Engineer,2023,275000
Machine Learning Engineer,2023,121200
Data Scientist,2023,166000
Data Scientist,2023,73100
Data Scientist,2023,231250
Data Scientist,2023,111000
Data Engineer,2023,300000
Data Engineer,2023,130000
Data Engineer,2023,210500
Data Engineer,2023,105300
Data Engineer,2023,158400
Data Engineer,2023,85800
Machine Learning Engineer,2023,305600
Machine Learning Engineer,2023,146600
Data Analyst,2023,180400
Data Analyst,2023,138800
Data Scientist,2023,258700
Data Scientist,2023,172500
Data Scientist,2023,156100
Data Scientist,2023,100400
Data Analyst,2023,134200
Data Analyst,2023,103200
Data Analyst,2023,105000
Data Analyst,2023,85000
Data Scientist,2023,220000
Data Scientist,2023,160000
Data Analyst,2023,110000
Data Analyst,2023,95000
Data Analyst,2023,95400
Data Analyst,2023,57800
Data Scientist,2023,110000
Data Scientist,2023,86000
Data Analyst,2023,125000
Data Analyst,2023,87500
Business Intelligence Engineer,2023,185000
Business Intelligence Engineer,2023,79600
Machine Learning Engineer,2023,275000
Machine Learning Engineer,2023,170000
Data Engineer,2023,133200
Data Engineer,2023,84000
Data Analyst,2023,171000
Data Analyst,2023,93000
Analytics Engineer,2023,216450
Analytics Engineer,2023,123750
Research Scientist,2023,212800
Research Scientist,2023,124100
Data Scientist,2023,205000
Data Scientist,2023,166000
Data Scientist,2023,231650
Data Scientist,2023,189100
Data Engineer,2023,160000
Data Engineer,2023,120000
Data Scientist,2023,156100
Data Scientist,2023,100400
Data Engineer,2023,266875
Data Engineer,2023,128250
Data Engineer,2023,158600
Data Engineer,2023,115300
Data Engineer,2023,225300
Data Engineer,2023,197400
Data Analyst,2023,109900
Data Analyst,2023,61200
Data Integration Engineer,2023,161000
Data Integration Engineer,2023,75000
Data Analyst,2023,166000
Data Analyst,2023,73100
Data Scientist,2023,138510
Data Scientist,2023,95490
Data Analyst,2023,150000
Data Analyst,2023,110000
Data Scientist,2023,232200
Data Scientist,2023,133300
Machine Learning Engineer,2023,121788
Machine Learning Engineer,2023,79032
Analytics Engineer,2023,178250
Analytics Engineer,2023,110500
AI Engineer,2023,190000
AI Engineer,2023,160000
Applied Scientist,2023,216000
Applied Scientist,2023,184000
Data Scientist,2023,166000
Data Scientist,2023,104000
Business Intelligence Engineer,2023,185000
Business Intelligence Engineer,2023,79600
Machine Learning Engineer,2023,230000
Machine Learning Engineer,2023,196000
Data Engineer,2023,184000
Data Engineer,2023,123000
Business Intelligence Engineer,2023,165600
Business Intelligence Engineer,2023,65800
Data Engineer,2023,186000
Data Engineer,2023,81800
Data Analyst,2023,135000
Data Analyst,2023,82500
Data Engineer,2023,247250
Data Engineer,2023,160000
Machine Learning Scientist,2023,169000
Machine Learning Scientist,2023,105500
Data Scientist,2023,195800
Data Scientist,2023,161900
Business Intelligence Engineer,2023,108500
Business Intelligence Engineer,2023,78800
Research Scientist,2023,225000
Research Scientist,2023,166000
BI Developer,2023,167500
BI Developer,2023,106500
Business Intelligence Manager,2023,160000
Business Intelligence Manager,2023,110000
Data Analyst,2023,120000
Data Analyst,2023,105000
Data Analyst,2023,110000
Data Analyst,2023,87500
Data Scientist,2023,60000
Data Scientist,2023,55000
Data Engineer,2023,145000
Data Engineer,2023,115000
Research Scientist,2023,225000
Research Scientist,2023,166000
Data Engineer,2023,135000
Data Engineer,2023,100000
Machine Learning Engineer,2023,105000
Machine Learning Engineer,2023,95000
Analytics Engineer,2023,289800
Analytics Engineer,2023,214200
Data Engineer,2023,167500
Data Engineer,2023,106500
Data Scientist,2023,220000
Data Scientist,2023,146000
Data Engineer,2023,128000
Data Engineer,2023,81500
Data Architect,2023,206000
Data Architect,2023,134000
Research Scientist,2023,370000
Research Scientist,2023,200000
Analytics Engineer,2023,175000
Analytics Engineer,2023,160000
Data Integration Specialist,2023,240000
Data Integration Specialist,2023,100000
Data Scientist,2023,180000
Data Scientist,2023,160000
Business Intelligence Engineer,2023,143000
Business Intelligence Engineer,2023,127000
Applied Scientist,2023,249300
Applied Scientist,2023,149300
Applied Scientist,2023,222200
Applied Scientist,2023,136000
Data Engineer,2023,190000
Data Engineer,2023,160000
Research Scientist,2023,248100
Research Scientist,2023,145900
Data Science Practitioner,2023,170200
Data Science Practitioner,2023,83900
Analytics Engineer,2023,100000
Analytics Engineer,2023,75000
Data Scientist,2023,166000
Data Scientist,2023,90000
Data Scientist,2023,160000
Data Scientist,2023,94100
Machine Learning Engineer,2023,226600
Machine Learning Engineer,2023,140100
Data Scientist,2023,247600
Data Scientist,2023,127300
Applied Scientist,2023,222200
Applied Scientist,2023,136000
Applied Scientist,2023,260000
Applied Scientist,2023,136000
Applied Scientist,2023,222200
Applied Scientist,2023,136000
Data Analyst,2023,156000
Data Analyst,2023,124000
Data Engineer,2023,200000
Data Engineer,2023,132600
Research Engineer,2023,308000
Research Engineer,2023,190400
Data Architect,2023,155000
Data Architect,2023,136000
Data Engineer,2023,160000
Data Engineer,2023,75000
Machine Learning Engineer,2023,214500
Machine Learning Engineer,2023,132600
Data Analyst,2023,111000
Data Analyst,2023,104000
Applied Scientist,2023,260000
Applied Scientist,2023,136000
Data Engineer,2023,85000
Data Engineer,2023,75000
Data Scientist,2023,180250
Data Scientist,2023,118000
Data Scientist,2023,212800
Data Scientist,2023,111600
Data Analyst,2023,157500
Data Analyst,2023,132500
Data Analyst,2023,85000
Data Analyst,2023,75000
Data Analyst,2023,93918
Data Analyst,2023,51962
Business Intelligence Analyst,2023,171000
Business Intelligence Analyst,2023,152000
Machine Learning Engineer,2023,223600
Machine Learning Engineer,2023,115000
Data Engineer,2023,166000
Data Engineer,2023,73100
Business Intelligence Developer,2023,140000
Business Intelligence Developer,2023,110000
Data Scientist,2023,130900
Data Scientist,2023,72700
Machine Learning Engineer,2023,333500
Machine Learning Engineer,2023,144000
Business Intelligence Engineer,2023,180000
Business Intelligence Engineer,2023,118200
Data Architect,2023,354200
Data Architect,2023,221800
Data Analyst,2023,166000
Data Analyst,2023,73000
Data Engineer,2023,156600
Data Engineer,2023,137200
Data Analyst,2023,149000
Data Analyst,2023,65300
Data Engineer,2023,187000
Data Engineer,2023,180000
Data Analyst,2023,119636
Data Analyst,2023,70374
Data Analyst,2023,105000
Data Analyst,2023,67000
Data Analyst,2023,102000
Data Analyst,2023,94770
Data Architect,2023,186000
Data Architect,2023,81800
Data Scientist,2023,133000
Data Scientist,2023,58400
Analytics Engineer,2023,169900
Analytics Engineer,2023,164100
Data Scientist,2023,305600
Data Scientist,2023,172500
Data Analyst,2023,105000
Data Analyst,2023,75000
Analytics Engineer,2023,37573
AI Research Engineer,2022,36940
Machine Learning Engineer,2023,180240
Machine Learning Engineer,2023,120160
Data Scientist,2023,212000
Data Scientist,2023,93400
Machine Learning Engineer,2023,275000
Machine Learning Engineer,2023,170000
Data Scientist,2023,119000
Data Scientist,2023,71400
Data Analyst,2023,115950
Data Analyst,2023,69570
Data Scientist,2023,225100
Data Scientist,2023,140900
Data Science Consultant,2023,116000
Data Science Consultant,2023,90000
Data Scientist,2023,212000
Data Scientist,2023,93300
ML Engineer,2023,179000
ML Engineer,2023,144000
Research Scientist,2023,250800
Research Scientist,2023,167200
Research Scientist,2023,144000
Research Scientist,2023,76000
Data Lead,2023,230000
Data Lead,2023,180000
Data Scientist,2023,156450
Data Scientist,2023,119200
Research Scientist,2023,150000
Research Scientist,2023,130000
Head of Data,2023,247500
Head of Data,2023,172200
ML Engineer,2023,155000
ML Engineer,2023,125000
Data Engineer,2023,175000
Data Engineer,2023,97500
Research Scientist,2023,220000
Research Scientist,2023,185000
Data Analyst,2023,100000
Data Analyst,2023,75000
Research Scientist,2023,303050
Research Scientist,2023,202350
AI Engineer,2023,21593
Data Scientist,2023,201650
Data Scientist,2023,124600
Business Intelligence Analyst,2023,198200
Business Intelligence Analyst,2023,110200
Data Scientist,2023,212000
Data Scientist,2023,93400
Data Analyst,2023,145000
Data Analyst,2023,110000
Business Intelligence Engineer,2023,89500
Business Intelligence Engineer,2023,65000
Machine Learning Engineer,2023,328400
Machine Learning Engineer,2023,205600
Data Scientist,2023,184800
Data Scientist,2023,161900
Data Engineer,2023,85000
Data Engineer,2023,61800
Data Engineer,2023,70748
Data Engineer,2023,67056
Data Analyst,2023,116000
Data Analyst,2023,72500
Machine Learning Engineer,2023,215000
Machine Learning Engineer,2023,169850
Business Intelligence Engineer,2023,225000
Business Intelligence Engineer,2023,180000
Data Scientist,2023,147400
Data Scientist,2023,107682
Data Scientist,2023,225300
Data Scientist,2023,197400
Analytics Engineer,2023,160000
Analytics Engineer,2023,136000
Machine Learning Engineer,2023,204600
Machine Learning Engineer,2023,126500
Data Architect,2023,210000
Data Architect,2023,115000
Data Analyst,2023,86500
Data Analyst,2023,40400
Applied Scientist,2023,260000
Applied Scientist,2023,136000
Data Scientist,2023,329700
Data Scientist,2023,192351
Data Engineer,2023,280000
Data Engineer,2023,160000
Business Intelligence Analyst,2023,106700
Business Intelligence Analyst,2023,97000
Data Analyst,2023,175000
Data Analyst,2023,150000
